"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd";"concept:name";"time:timestamp";"@@index";"@@case_index";"case:concept:name"
"6358373762";"CREATION";"2016-03-15 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"142600.0";"FORNITURE";"ORDINARI";"0";"42";"470.96";"0";"CREATION";"2016-03-15 00:00:00+00:00";"0";"0";"6358373762"
"6358373762";"AWARD";"2016-04-14 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"142600.0";"FORNITURE";"ORDINARI";"0";"42";"470.96";"30";"AWARD";"2016-04-14 00:00:00+00:00";"1";"0";"6358373762"
"6358373762";"CONTRACT-START";"2016-06-28 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"142600.0";"FORNITURE";"ORDINARI";"0";"42";"470.96";"105";"CONTRACT-START";"2016-06-28 00:00:00+00:00";"2";"0";"6358373762"
"6358373762";"VARIANT";"2016-11-02 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"142600.0";"FORNITURE";"ORDINARI";"0";"42";"470.96";"232";"VARIANT";"2016-11-02 00:00:00+00:00";"3";"0";"6358373762"
"6358373762";"CONTRACT-END";"2017-05-26 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"142600.0";"FORNITURE";"ORDINARI";"0";"42";"470.96";"437";"CONTRACT-END";"2017-05-26 00:00:00+00:00";"4";"0";"6358373762"
"6358373762";"STATUS";"2017-06-29 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"142600.0";"FORNITURE";"ORDINARI";"0";"42";"470.96";"471";"STATUS";"2017-06-29 00:00:00+00:00";"5";"0";"6358373762"
"64663676DA";"CREATION";"2016-01-21 00:00:00+00:00";"EMILIA ROMAGNA";"1071048.25";"FORNITURE";"ORDINARI";"1";"33";"514.96";"0";"CREATION";"2016-01-21 00:00:00+00:00";"6";"1";"64663676DA"
"64663676DA";"AWARD";"2016-01-21 00:00:00+00:00";"EMILIA ROMAGNA";"1071048.25";"FORNITURE";"ORDINARI";"1";"33";"514.96";"0";"AWARD";"2016-01-21 00:00:00+00:00";"7";"1";"64663676DA"
"64663676DA";"CONTRACT-START";"2016-01-21 00:00:00+00:00";"EMILIA ROMAGNA";"1071048.25";"FORNITURE";"ORDINARI";"1";"33";"514.96";"0";"CONTRACT-START";"2016-01-21 00:00:00+00:00";"8";"1";"64663676DA"
"64663676DA";"CONTRACT-END";"2017-05-30 00:00:00+00:00";"EMILIA ROMAGNA";"1071048.25";"FORNITURE";"ORDINARI";"1";"33";"514.96";"495";"CONTRACT-END";"2017-05-30 00:00:00+00:00";"9";"1";"64663676DA"
"64663676DA";"STATUS";"2017-06-19 00:00:00+00:00";"EMILIA ROMAGNA";"1071048.25";"FORNITURE";"ORDINARI";"1";"33";"514.96";"515";"STATUS";"2017-06-19 00:00:00+00:00";"10";"1";"64663676DA"
"64663676DA";"VARIANT";"2017-06-19 00:00:00+00:00";"EMILIA ROMAGNA";"1071048.25";"FORNITURE";"ORDINARI";"1";"33";"514.96";"515";"VARIANT";"2017-06-19 00:00:00+00:00";"11";"1";"64663676DA"
"6478191454";"CREATION";"2016-01-01 00:00:00+00:00";"FRIULI VENEZIA GIULIA";"240000.0";"FORNITURE";"ORDINARI";"1";"9";"1169.0";"0";"CREATION";"2016-01-01 00:00:00+00:00";"12";"2";"6478191454"
"6478191454";"AWARD";"2016-01-01 00:00:00+00:00";"FRIULI VENEZIA GIULIA";"240000.0";"FORNITURE";"ORDINARI";"1";"9";"1169.0";"0";"AWARD";"2016-01-01 00:00:00+00:00";"13";"2";"6478191454"
"6478191454";"CONTRACT-START";"2016-01-01 00:00:00+00:00";"FRIULI VENEZIA GIULIA";"240000.0";"FORNITURE";"ORDINARI";"1";"9";"1169.0";"0";"CONTRACT-START";"2016-01-01 00:00:00+00:00";"14";"2";"6478191454"
"6478191454";"VARIANT";"2018-10-31 00:00:00+00:00";"FRIULI VENEZIA GIULIA";"240000.0";"FORNITURE";"ORDINARI";"1";"9";"1169.0";"1034";"VARIANT";"2018-10-31 00:00:00+00:00";"15";"2";"6478191454"
"6478191454";"VARIANT";"2019-01-29 00:00:00+00:00";"FRIULI VENEZIA GIULIA";"240000.0";"FORNITURE";"ORDINARI";"1";"9";"1169.0";"1124";"VARIANT";"2019-01-29 00:00:00+00:00";"16";"2";"6478191454"
