"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd";"concept:name";"time:timestamp";"@@index";"@@case_index";"case:concept:name"
"6390797C82";"CREATION";"2016-05-31 00:00:00+00:00";"SARDEGNA";"235273.21";"SERVIZI";"ORDINARI";"0";"45";"366.0";"0";"CREATION";"2016-05-31 00:00:00+00:00";"0";"0";"6390797C82"
"6390797C82";"AWARD";"2016-06-20 00:00:00+00:00";"SARDEGNA";"235273.21";"SERVIZI";"ORDINARI";"0";"45";"366.0";"20";"AWARD";"2016-06-20 00:00:00+00:00";"1";"0";"6390797C82"
"6390797C82";"CONTRACT-START";"2016-09-06 00:00:00+00:00";"SARDEGNA";"235273.21";"SERVIZI";"ORDINARI";"0";"45";"366.0";"98";"CONTRACT-START";"2016-09-06 00:00:00+00:00";"2";"0";"6390797C82"
"6424595F7F";"CREATION";"2016-04-18 00:00:00+00:00";"TOSCANA";"81967.31";"SERVIZI";"ORDINARI";"0";"50";"1534.0";"0";"CREATION";"2016-04-18 00:00:00+00:00";"7";"1";"6424595F7F"
"6424595F7F";"AWARD";"2016-08-03 00:00:00+00:00";"TOSCANA";"81967.31";"SERVIZI";"ORDINARI";"0";"50";"1534.0";"107";"AWARD";"2016-08-03 00:00:00+00:00";"8";"1";"6424595F7F"
"6424595F7F";"CONTRACT-START";"2016-09-15 00:00:00+00:00";"TOSCANA";"81967.31";"SERVIZI";"ORDINARI";"0";"50";"1534.0";"150";"CONTRACT-START";"2016-09-15 00:00:00+00:00";"9";"1";"6424595F7F"
"64875618B1";"CREATION";"2016-02-15 00:00:00+00:00";"TOSCANA";"176000.0";"SERVIZI";"ORDINARI";"0";"50";"1505.96";"0";"CREATION";"2016-02-15 00:00:00+00:00";"12";"2";"64875618B1"
"64875618B1";"AWARD";"2016-04-08 00:00:00+00:00";"TOSCANA";"176000.0";"SERVIZI";"ORDINARI";"0";"50";"1505.96";"53";"AWARD";"2016-04-08 00:00:00+00:00";"13";"2";"64875618B1"
"64875618B1";"CONTRACT-START";"2018-03-31 00:00:00+00:00";"TOSCANA";"176000.0";"SERVIZI";"ORDINARI";"0";"50";"1505.96";"775";"CONTRACT-START";"2018-03-31 00:00:00+00:00";"14";"2";"64875618B1"
"6499571FA6";"CREATION";"2016-01-11 00:00:00+00:00";"EMILIA ROMAGNA";"200000.0";"SERVIZI";"ORDINARI";"0";"50";"1024.0";"0";"CREATION";"2016-01-11 00:00:00+00:00";"17";"3";"6499571FA6"
